city,site_id,road
金門縣,金門縣金城鎮,
金門縣,金門縣金城鎮 ,伯玉路
金門縣, 金門縣金城鎮,夏墅
金門縣,金門縣 金城鎮,官裡
,金門縣金城鎮,小古崗
金門@縣,金門縣金城鎮 ,山前
金門縣,金門縣金城鎮,後%豐港
金門縣,金門縣$金城鎮,林湖路
金門縣,金門99縣金城鎮,模範街
宜蘭縣,宜蘭縣礁溪鄉,大󻕯路
宜蘭縣,宜蘭縣礁溪鄉,󻕯底路
新竹縣,新竹縣竹東鎮,沿河街
苗栗縣,苗栗縣苑裡鎮,育才街
苗栗縣,苗栗縣泰安鄉,高熊𡶛
彰化縣,彰化縣彰化市,磚󿾨路
彰化縣,彰化縣二林鎮,竹田１巷
南投縣,南投縣竹山鎮,硘󿾨新村
雲林縣,雲林縣斗六市,檨林路
雲林縣,雲林縣虎尾鎮,民主１６路
嘉義縣,嘉義縣朴子市,𧃽菜埔
嘉義縣,嘉義縣中埔鄉,官真𫔘
嘉義縣,嘉義縣竹崎鄉,檨仔寮
屏東縣,屏東縣屏東市,台糖𠄞街
屏東縣,屏東縣枋寮鄉,瓦󿾨一路
屏東縣,屏東縣枋寮鄉,瓦󿾨二路
屏東縣,屏東縣枋寮鄉,瓦󿾨六路
屏東縣,屏東縣崁頂鄉,瓦󿾨路
屏東縣,屏東縣獅子鄉,壽𡶛路
澎湖縣,澎湖縣湖西鄉,紅羅𦋐
嘉義市,嘉義市西區,磚󿾨
高雄市,高雄市岡山區,山𨻶路
新北市,新北市淡水區,瓦󿾨坑
新北市,新北市瑞芳區,㒬子上天路
新北市,新北市瑞芳區,𫙮魚坑路
新北市,新北市坪林區,石𥕢
新北市,新北市坪林區,𩻸魚堀
新北市,新北市萬里區,豊𢊬
臺中市,臺中市北區,國𧯽街
臺中市,臺中市大雅區,龍善一街
臺中市,臺中市大雅區,龍善二街
臺中市,臺中市大安區,龜売路
臺中市,臺中市大里區,瓦󿾨路
臺南市,臺南市北門區,灰󿾨港
臺南市,臺南市山上區,蚵売潭
