ID,Income
A03776,231089
A06172,225704
A01316,223920
A01230,218768
A05700,216751
A04131,210180
A01997,210013
A07176,207075
A07454,201440
A05867,195948
A06936,192917
A00653,192107
A05431,186713
A02566,186581
A00577,183233
A06954,173794
A04058,167181
A01721,166555
A07456,165209
A08111,163239
A01009,162417
A00082,160639
A09471,160349
A08424,160294
A09996,159562
A07670,159104
A07965,159085
A03929,156190
A09530,155010
A04350,154682
A06536,154095
A03114,152891
A06123,152325
A04822,150999
A05642,150607
A09287,150515
A05570,150023
A02474,149722
A06231,148483
A01628,148016
A00298,147343
A01475,146867
A07949,146658
A02638,146335
A04127,145958
A01989,145908
A01268,145076
A01107,144514
A00078,143781
A06909,142123
A00258,141186
A06104,138644
A02047,138588
A09894,138350
A06141,138127
A00906,137831
A03696,137200
A05041,135879
A08089,134913
A06987,134218
A09316,133890
A00799,133879
A03717,133327
A07036,132671
A03766,132328
A03630,131525
A03862,130878
A00369,130833
A07271,130715
A07019,129813
A00240,129702
A00392,129594
A04926,129226
A05944,129085
A06642,128975
A07367,128839
A00446,128687
A05514,128447
A01445,128427
A02260,128076
A03531,127746
A00015,126305
A08308,126091
A00869,125471
A00802,125285
A07501,125242
A01894,124976
A08428,124616
A01983,124505
A04189,123249
A08178,122734
A02449,122607
A09232,122486
A02554,122412
A09578,122126
A05560,122058
A06407,122010
A09154,121966
A03286,121467
A02446,120798
A08309,120461
A08245,119268
A09978,119053
A03633,118693
A07177,118517
A00999,118351
A08523,118318
A02275,118226
A00402,118036
A03209,117979
A07668,117580
A06778,117476
A09965,117305
A09055,116816
A06128,116793
A07544,116699
A08060,116607
A03386,116361
A05028,116140
A08811,116042
A01505,115975
A02562,115972
A08685,115884
A02695,115627
A00423,115405
A01918,115385
A00155,114620
A08042,114468
A00601,114465
A08897,114427
A05459,114312
A08041,114061
A02123,113986
A07462,113245
A02157,113091
A05168,113089
A09602,113069
A00415,112624
A00811,112504
A03697,112307
A04872,111807
A05351,111448
A07466,110662
A08485,110518
A08044,110339
A03356,110302
A06740,109936
A09043,109678
A00585,109301
A05790,108620
A03822,108477
A07656,108454
A09624,108318
A00733,108301
A04359,107894
A03163,107869
A05990,107816
A04813,107780
A09648,107771
A00068,107698
A09953,107570
A01752,107420
A00821,107385
A03707,107360
A05553,107344
A04860,107237
A09478,107067
A07222,106847
A02466,106840
A04868,106441
A06418,105968
A06057,105943
A01396,105923
A02838,105371
A06604,105304
A08074,105268
A02893,105139
A08382,104930
A00190,104289
A07619,104243
A06489,104042
A09233,104016
A07440,103980
A05449,103965
A04532,103751
A03319,103474
A06257,103164
A06302,102830
A07309,102547
A07245,102530
A02093,102365
A06004,102320
A08470,102163
A08730,101911
A04250,101890
A02712,101787
A02639,101638
A01247,101609
A02324,101604
A01122,101463
A03687,101290
A06925,101270
A09825,101240
A02664,101141
A05199,101117
A06273,101001
A08326,100994
A08248,100937
A03611,100681
A01482,100559
A02751,100474
A02149,100316
A06062,100091
A00027,99975
A03321,99802
A09435,99692
A04541,99691
A07634,99654
A00490,99518
A03324,99468
A04379,99386
A01873,98906
A08305,98762
A01073,98741
A04595,98734
A04714,98118
A07455,98106
A04421,98102
A09969,98082
A06229,98021
A01280,97964
A01584,97647
A09482,97605
A06199,97476
A08966,97338
A00093,97256
A09179,97116
A07969,97113
A04488,97103
A05017,97061
A03307,97023
A00403,96691
A01539,96440
A07522,96367
A05926,96360
A00737,96322
A09734,96095
A07995,96000
A04466,95948
A00540,95891
A09756,95891
A00540,95891
A09756,95891
A07821,95890
A07062,95877
A02794,95862
A07628,95710
A05429,95603
A04285,95577
A06923,95446
A06684,95398
A00070,95351
A00965,95337
A06452,95319
A08199,95290
A09990,95228
A01281,95034
A09500,95002
A08775,94949
A02245,94834
A05350,94809
A00165,94398
A07547,94391
A02119,94296
A06203,94278
A05476,94063
A07408,94063
A05476,94063
A07408,94063
A01358,93990
A08180,93988
A02124,93958
A06207,93893
A08267,93809
A04636,93427
A09675,92939
A08813,92789
A09308,92710
A09200,92680
A03758,92665
A01718,92598
A03208,92548
A09902,92437
A05085,92427
A05356,92392
A09651,92378
A01081,92362
A04706,92178
A07156,92120
A03455,91841
A00349,91670
A05388,91639
A08227,91629
A02514,91605
A04781,91513
A09528,91436
A01631,91318
A01892,91245
A04330,91123
A02491,91119
A01859,91117
A01487,91024
A03516,91012
A05582,90926
A05527,90511
A04817,90449
A00100,90447
A02216,90444
A02004,90427
A07442,90267
A08263,90249
A03095,90022
A04071,90010
A00116,89949
A01558,89893
A05115,89878
A07400,89852
A01351,89840
A08209,89601
A09014,89168
A01678,89139
A02028,89125
A07480,89121
A04130,89092
A04834,89085
A04658,88836
A09691,88567
A03374,88512
A01714,88507
A07056,88418
A05025,88415
A01327,88223
A00035,88065
A07404,88038
A07694,88019
A04750,87988
A04244,87974
A04991,87740
A04001,87726
A07736,87615
A01723,87536
A08454,87316
A01637,87195
A02627,87157
A04034,87102
A08423,87088
A04981,87081
A08474,86901
A08215,86716
A06866,86564
A01363,86226
A03019,86175
A07416,86080
A04924,86079
A05575,86060
A08893,86026
A00558,85993
A03850,85932
A04836,85924
A00966,85840
A06226,85794
A08067,85716
A03500,85618
A07418,85532
A07819,85486
A02524,85406
A04823,85400
A06780,85277
A05544,85233
A07898,85186
A03604,85137
A02293,85079
A08521,85066
A09280,85053
A03006,84896
A02187,84816
A04497,84727
A01596,84718
A06090,84659
A09815,84516
A00416,84488
A00814,84457
A06812,84425
A06066,84407
A04767,84283
A02613,84128
A04889,84063
A01134,83968
A06750,83916
A06689,83774
A01638,83764
A06732,83730
A02749,83612
A09133,83560
A07846,83517
A00550,83368
A00216,83353
A09884,83348
A02222,83206
A02122,83184
A04159,83137
A09248,83109
A00022,83062
A02220,83043
A00414,83033
A09304,83031
A09393,82872
A02469,82866
A08921,82819
A01655,82806
A03476,82765
A07216,82748
A04400,82733
A09781,82696
A01049,82626
A03605,82617
A00885,82473
A08032,82465
A04941,82449
A06755,82427
A09203,82420
A01792,82390
A01471,82306
A08993,82203
A03737,82143
A07672,82142
A00160,82140
A07649,82088
A05657,82028
A03118,81987
A03157,81978
A05846,81923
A03381,81848
A08747,81838
A05940,81791
A04195,81785
A09365,81721
A08155,81715
A08124,81600
A05294,81591
A03665,81550
A04410,81510
A09964,81476
A07650,81452
A04776,81391
A07420,81228
A06135,81187
A08994,81179
A06003,81166
A09187,81098
A05442,81007
A08445,80942
A00214,80927
A09579,80905
A00868,80873
A05392,80836
A00442,80789
A09625,80737
A01536,80635
A05265,80576
A00065,80476
A06917,80432
A03716,80152
A01096,80073
A00522,80030
A03137,79931
A06460,79899
A02377,79867
A09682,79867
A02377,79867
A09682,79867
A00208,79834
A04340,79744
A05962,79689
A01717,79665
A05308,79608
A04922,79587
A03773,79520
A03621,79512
A04986,79506
A07171,79471
A05502,79455
A07517,79402
A08173,79366
A06053,79354
A04979,79279
A07888,79248
A05013,79075
A06531,79063
A02586,78993
A02147,78925
A02299,78816
A01958,78801
A08343,78795
A04482,78751
A01508,78666
A08050,78653
A07997,78573
A04471,78311
A08250,78300
A01058,78164
A08421,77970
A03128,77935
A01609,77816
A02688,77654
A00239,77596
A04772,77526
A06989,77475
A03631,77436
A05801,77400
A00964,77338
A08653,77312
A07197,77308
A06906,77162
A02813,77066
A00317,76952
A02306,76909
A01059,76908
A08153,76824
A01741,76745
A09329,76641
A03477,76633
A02134,76620
A08095,76606
A06938,76580
A00576,76406
A05742,76394
A08188,76375
A08784,76358
A08833,76334
A01777,76245
A07648,76211
A07550,76185
A06401,76132
A04094,76114
A09743,76108
A07174,76098
A04629,76088
A09793,76060
A01042,76040
A08909,75970
A03644,75949
A07069,75937
A02647,75820
A02195,75810
A07026,75744
A05512,75693
A07749,75675
A08672,75525
A09060,75521
A03224,75514
A02994,75485
A04530,75323
A04920,75309
A01019,75195
A03251,75182
A07186,75175
A03478,75124
A07137,75044
A06512,75018
A09284,75016
A09414,74991
A00539,74952
A01300,74941
A00353,74912
A07916,74896
A04724,74880
A05172,74859
A07682,74852
A08147,74748
A09089,74745
A00437,74725
A02583,74695
A04594,74630
A08167,74582
A01223,74493
A07810,74478
A07398,74359
A00085,74250
A09467,74135
A06708,74104
A07068,74099
A03640,74088
A09662,74080
A07479,73994
A05934,73978
A03808,73864
A01802,73860
A06081,73812
A00158,73799
A01703,73788
A09995,73697
A04437,73656
A00249,73653
A01424,73632
A05976,73603
A03580,73535
A03722,73503
A01516,73497
A09140,73380
