ID,Income
A00001,58494
A00002,27633
A00003,6516
A00004,1485
A00005,22068
A00006,11243
A00007,7068
A00008,24424
A00009,37313
A00010,6599
A00011,51038
A00012,25586
A00013,9305
A00014,4450
A00015,126305
A00016,6436
A00017,34325
A00018,13524
A00019,23392
A00020,57921
A00021,1581
A00022,83062
A00023,2723
A00024,8325
A00025,5816
A00026,2655
A00027,99975
A00028,11671
A00029,2914
A00030,13526
A00031,17304
A00032,4032
A00033,45610
A00034,8476
A00035,88065
A00036,68453
A00037,55840
A00038,51885
A00039,506
A00040,22173
A00041,3812
A00042,47729
A00043,25632
A00044,46607
A00045,18424
A00046,8194
A00047,62417
A00048,72868
A00049,4889
A00050,6761
A00051,11168
A00052,43499
A00053,9788
A00054,30326
A00055,11841
A00056,5023
A00057,18672
A00058,35439
A00059,20555
A00060,20273
A00061,19230
A00062,33774
A00063,21358
A00064,20752
A00065,80476
A00066,6540
A00067,36075
A00068,107698
A00069,1108
A00070,95351
A00071,19353
A00072,9801
A00073,12880
A00074,33361
A00075,18524
A00076,29517
A00077,16529
A00078,143781
A00079,30882
A00080,60766
A00081,53960
A00082,160639
A00083,12284
A00084,8181
A00085,74250
A00086,1378
A00087,4506
A00088,2864
A00089,6774
A00090,19893
A00091,12553
A00092,25098
A00093,97256
A00094,13952
A00095,30832
A00096,5578
A00097,24759
A00098,42179
A00099,11142
A00100,90447
A00101,54762
A00102,30905
A00103,65758
A00104,50923
A00105,6110
A00106,24802
A00107,12738
A00108,31244
A00109,57786
A00110,34353
A00111,17426
A00112,16761
A00113,28908
A00114,796
A00115,23787
A00116,89949
A00117,18589
A00118,17201
A00119,8473
A00120,12441
A00121,19081
A00122,35338
A00123,30533
A00124,37397
A00125,7048
A00126,266
A00127,17717
A00128,43653
A00129,44798
A00130,28623
A00131,31640
A00132,24323
A00133,2922
A00134,25769
A00135,27408
A00136,11485
A00137,17492
A00138,15377
A00139,49833
A00140,27974
A00141,55250
A00142,8851
A00143,36220
A00144,62902
A00145,32820
A00146,15320
A00147,1375
A00148,21796
A00149,25559
A00150,36086
A00151,43967
A00152,14825
A00153,1211
A00154,31475
A00155,114620
A00156,24596
A00157,20586
A00158,73799
A00159,9608
A00160,82140
A00161,2399
A00162,34020
A00163,56284
A00164,19250
A00165,94398
A00166,34489
A00167,10950
A00168,37717
A00169,18662
A00170,12936
A00171,68013
A00172,6122
A00173,37904
A00174,35355
A00175,28417
A00176,27547
A00177,37199
A00178,39435
A00179,6788
A00180,26227
A00181,9250
A00182,10713
A00183,32214
A00184,5183
A00185,36323
A00186,29344
A00187,14080
A00188,49997
A00189,21363
A00190,104289
A00191,54554
A00192,31116
A00193,6643
A00194,21062
A00195,72756
A00196,23352
A00197,11322
A00198,48226
A00199,33521
A00200,9241
A00201,50470
A00202,14365
A00203,16653
A00204,16221
A00205,25536
A00206,25004
A00207,36759
A00208,79834
A00209,815
A00210,16280
A00211,5775
A00212,31774
A00213,20229
A00214,80927
A00215,25783
A00216,83353
A00217,1346
A00218,29376
A00219,17626
A00220,85
A00221,28431
A00222,9619
A00223,25126
A00224,35104
A00225,18802
A00226,598
A00227,12517
A00228,24437
A00229,14292
A00230,10830
A00231,24799
A00232,21623
A00233,39332
A00234,3816
A00235,3626
A00236,28674
A00237,33065
A00238,7454
A00239,77596
A00240,129702
A00241,11786
A00242,14905
A00243,17066
A00244,957
A00245,5608
A00246,3549
A00247,56645
A00248,8296
A00249,73653
A00250,32270
A00251,23099
A00252,22957
A00253,15948
A00254,18781
A00255,10139
A00256,39245
A00257,7074
A00258,141186
A00259,15436
A00260,38465
A00261,70191
A00262,40556
A00263,18670
A00264,6059
A00265,22113
A00266,11248
A00267,4362
A00268,33880
A00269,42774
A00270,1603
A00271,4419
A00272,30579
A00273,25235
A00274,8525
A00275,53884
A00276,26382
A00277,66110
A00278,8745
A00279,27521
A00280,43895
A00281,16484
A00282,38627
A00283,38363
A00284,3640
A00285,8222
A00286,1455
A00287,9242
A00288,24763
A00289,32242
A00290,3587
A00291,21247
A00292,49237
A00293,41058
A00294,26463
A00295,28852
A00296,11211
A00297,42738
A00298,147343
A00299,6280
A00300,11605
A00301,29090
A00302,54701
A00303,37043
A00304,12910
A00305,6929
A00306,30223
A00307,9875
A00308,562
A00309,10873
A00310,21765
A00311,27066
A00312,13086
A00313,781
A00314,48491
A00315,50284
A00316,22572
A00317,76952
A00318,20398
A00319,21231
A00320,3133
A00321,17950
A00322,68253
A00323,20356
A00324,7819
A00325,13220
A00326,5352
A00327,20107
A00328,45309
A00329,3596
A00330,52467
A00331,293
A00332,28120
A00333,14614
A00334,50685
A00335,21093
A00336,12437
A00337,12846
A00338,8918
A00339,169
A00340,38571
A00341,34447
A00342,60502
A00343,56959
A00344,23570
A00345,22446
A00346,22056
A00347,2793
A00348,41911
A00349,91670
A00350,21326
A00351,211
A00352,18131
A00353,74912
A00354,40737
A00355,2025
A00356,18559
A00357,18416
A00358,26068
A00359,3545
A00360,22275
A00361,9216
A00362,39583
A00363,12613
A00364,9811
A00365,15318
A00366,33492
A00367,9021
A00368,68336
A00369,130833
A00370,34957
A00371,32984
A00372,45742
A00373,22970
A00374,7902
A00375,5618
A00376,12746
A00377,42432
A00378,8957
A00379,3817
A00380,18600
A00381,10393
A00382,21008
A00383,14858
A00384,27936
A00385,94
A00386,23399
A00387,49004
A00388,15221
A00389,8340
A00390,38010
A00391,38872
A00392,129594
A00393,9702
A00394,2453
A00395,58104
A00396,16339
A00397,17594
A00398,30792
A00399,32885
A00400,18330
A00401,20210
A00402,118036
A00403,96691
A00404,1586
A00405,7365
A00406,13859
A00407,67844
A00408,8047
A00409,7290
A00410,13732
A00411,34174
A00412,8928
A00413,15762
A00414,83033
A00415,112624
A00416,84488
A00417,9184
A00418,71982
A00419,1798
A00420,39180
A00421,3895
A00422,31196
A00423,115405
A00424,13694
A00425,4607
A00426,10896
A00427,31697
A00428,25179
A00429,23816
A00430,32187
A00431,50404
A00432,36037
A00433,53571
A00434,45032
A00435,17667
A00436,26965
A00437,74725
A00438,36241
A00439,13830
A00440,51843
A00441,13294
A00442,80789
A00443,10317
A00444,25173
A00445,32063
A00446,128687
A00447,22224
A00448,5110
A00449,25402
A00450,3453
A00451,12659
A00452,45150
A00453,37601
A00454,20629
A00455,9781
A00456,12268
A00457,19073
A00458,8961
A00459,22910
A00460,56167
A00461,34066
A00462,6204
A00463,32368
A00464,5798
A00465,5237
A00466,29110
A00467,16039
A00468,37115
A00469,7318
A00470,50833
A00471,6241
A00472,12417
A00473,11482
A00474,25787
A00475,7990
A00476,13181
A00477,617
A00478,9763
A00479,14053
A00480,3015
A00481,20320
A00482,25275
A00483,19575
A00484,19920
A00485,3117
A00486,25169
A00487,15264
A00488,43032
A00489,42997
A00490,99518
A00491,72668
A00492,26580
A00493,14360
A00494,31528
A00495,9994
A00496,19379
A00497,18286
A00498,27107
A00499,26025
A00500,30880
A00501,10817
A00502,43607
A00503,25092
A00504,4722
A00505,37819
A00506,21935
A00507,34959
A00508,2786
A00509,20840
A00510,20403
A00511,35174
A00512,26249
A00513,16809
A00514,27723
A00515,47955
A00516,5423
A00517,44492
A00518,14564
A00519,16373
A00520,14192
A00521,21704
A00522,80030
A00523,33931
A00524,7829
A00525,16298
A00526,11622
A00527,35386
A00528,16523
A00529,49472
A00530,9011
A00531,10429
A00532,32028
A00533,16808
A00534,7232
A00535,4237
A00536,10450
A00537,3349
A00538,27336
A00539,74952
A00540,95891
A00541,14530
A00542,22976
A00543,1887
A00544,14704
A00545,4826
A00546,16242
A00547,2903
A00548,42630
A00549,27141
A00550,83368
A00551,70568
A00552,18882
A00553,13320
A00554,65034
A00555,41356
A00556,24710
A00557,44898
A00558,85993
A00559,50343
A00560,3832
A00561,8616
A00562,16134
A00563,15723
A00564,35970
A00565,33985
A00566,18261
A00567,5999
A00568,13145
A00569,5071
A00570,679
A00571,19907
A00572,7891
A00573,40
A00574,9406
A00575,8147
A00576,76406
A00577,183233
A00578,19664
A00579,40171
A00580,7506
A00581,22504
A00582,43415
A00583,13055
A00584,13964
A00585,109301
A00586,16167
A00587,38919
A00588,44959
A00589,7847
A00590,38804
A00591,35197
A00592,5985
A00593,16957
A00594,1841
A00595,15986
A00596,20470
A00597,27491
A00598,8566
A00599,12699
A00600,8029
A00601,114465
A00602,20998
A00603,33339
A00604,19349
A00605,8644
A00606,8961
A00607,28230
A00608,19699
A00609,26358
A00610,37339
A00611,1934
A00612,22996
A00613,38746
A00614,2829
A00615,15266
A00616,36642
