roadno,city,site_id,road
1,臺中市,臺中市中區,三民路
2,臺中市,臺中市中區,中正路
3,臺中市,臺中市中區,中華路
4,臺中市,臺中市中區,光復路
5,臺中市,臺中市中區,公園路
6,臺中市,臺中市中區,吉祥街
7,臺中市,臺中市中區,市府路
8,臺中市,臺中市中區,建國路
9,臺中市,臺中市中區,新民街
10,臺中市,臺中市中區,柳川西路
11,臺中市,臺中市中區,民權路
12,臺中市,臺中市中區,篤行路
13,臺中市,臺中市中區,綠川西街
14,臺中市,臺中市中區,自由路
15,臺中市,臺中市中區,興中街
16,臺中市,臺中市中區,雙十路
17,臺中市,臺中市東區,一心街
18,臺中市,臺中市東區,七中路
19,臺中市,臺中市東區,三賢街
20,臺中市,臺中市東區,互助街
21,臺中市,臺中市東區,仁和二街
22,臺中市,臺中市東區,信義街
23,臺中市,臺中市東區,公園東路
24,臺中市,臺中市東區,力行路
25,臺中市,臺中市東區,十勇街
26,臺中市,臺中市東區,十甲北一街
27,臺中市,臺中市東區,十甲北街
28,臺中市,臺中市東區,十甲東二街
29,臺中市,臺中市東區,十甲路
30,臺中市,臺中市東區,南京五街
31,臺中市,臺中市東區,南京四街
32,臺中市,臺中市東區,南京路
33,臺中市,臺中市東區,和平街
34,臺中市,臺中市東區,喬城三街
35,臺中市,臺中市東區,大公街
36,臺中市,臺中市東區,大振街
37,臺中市,臺中市東區,大智路
38,臺中市,臺中市東區,天乙街
39,臺中市,臺中市東區,富台街
40,臺中市,臺中市東區,富貴街
41,臺中市,臺中市東區,建中東街
42,臺中市,臺中市東區,建仁街
43,臺中市,臺中市東區,建勇東街
44,臺中市,臺中市東區,建國路
45,臺中市,臺中市東區,建德路
46,臺中市,臺中市東區,建新街
47,臺中市,臺中市東區,建興街
48,臺中市,臺中市東區,復興路
49,臺中市,臺中市東區,德興二街
50,臺中市,臺中市東區,振福路
51,臺中市,臺中市東區,新民街
52,臺中市,臺中市東區,早溪街
53,臺中市,臺中市東區,旱溪三街
54,臺中市,臺中市東區,旱溪五街
55,臺中市,臺中市東區,旱溪東路
56,臺中市,臺中市東區,旱溪西路
57,臺中市,臺中市東區,東光園路
58,臺中市,臺中市東區,東南街
59,臺中市,臺中市東區,東學街
60,臺中市,臺中市東區,東府街
61,臺中市,臺中市東區,東福一街
62,臺中市,臺中市東區,東福路
63,臺中市,臺中市東區,東義街
64,臺中市,臺中市東區,東英七街
65,臺中市,臺中市東區,東英九街
66,臺中市,臺中市東區,東英五街
67,臺中市,臺中市東區,東英六街
68,臺中市,臺中市東區,東英十七街
69,臺中市,臺中市東區,東英十二街
70,臺中市,臺中市東區,東英十六街
71,臺中市,臺中市東區,東英路
72,臺中市,臺中市東區,東門路
73,臺中市,臺中市東區,樂業二路
74,臺中市,臺中市東區,樂業東三街
75,臺中市,臺中市東區,樂業路
76,臺中市,臺中市東區,永明街
77,臺中市,臺中市東區,玉皇街
78,臺中市,臺中市東區,福仁街
79,臺中市,臺中市東區,福成街
80,臺中市,臺中市東區,福智街
81,臺中市,臺中市東區,立德東街
82,臺中市,臺中市東區,精武東路
83,臺中市,臺中市東區,練武路
84,臺中市,臺中市東區,自強南街
85,臺中市,臺中市東區,自强南街
86,臺中市,臺中市東區,自由二街
87,臺中市,臺中市東區,興大路
88,臺中市,臺中市東區,進德北路
89,臺中市,臺中市東區,鐵路街
90,臺中市,臺中市東區,長福路
91,臺中市,臺中市東區,龍安街
92,臺中市,臺中市南區,三民路
93,臺中市,臺中市南區,五權南路
94,臺中市,臺中市南區,仁和二街
95,臺中市,臺中市南區,仁德街
96,臺中市,臺中市南區,信義南街
97,臺中市,臺中市南區,光輝一街
98,臺中市,臺中市南區,公理街
99,臺中市,臺中市南區,南和二街
100,臺中市,臺中市南區,南屯路
101,臺中市,臺中市南區,南平路
102,臺中市,臺中市南區,南門路
103,臺中市,臺中市南區,台中路
104,臺中市,臺中市南區,和平街
105,臺中市,臺中市南區,國光路
106,臺中市,臺中市南區,大慶街
107,臺中市,臺中市南區,崇倫北街
108,臺中市,臺中市南區,工學一街
109,臺中市,臺中市南區,工學二街
110,臺中市,臺中市南區,工學六街
111,臺中市,臺中市南區,工學路
112,臺中市,臺中市南區,建國北路
113,臺中市,臺中市南區,建成路
114,臺中市,臺中市南區,復興北路
115,臺中市,臺中市南區,復興路
116,臺中市,臺中市南區,德富路
117,臺中市,臺中市南區,德鑫街
118,臺中市,臺中市南區,忠明南路
119,臺中市,臺中市南區,懷寧街
120,臺中市,臺中市南區,文心南路
121,臺中市,臺中市南區,新和街
122,臺中市,臺中市南區,新華街
123,臺中市,臺中市南區,有恒街
124,臺中市,臺中市南區,柳川東路
125,臺中市,臺中市南區,樹義一街
126,臺中市,臺中市南區,樹義五街
127,臺中市,臺中市南區,正氣街
128,臺中市,臺中市南區,民意街
129,臺中市,臺中市南區,民興街
130,臺中市,臺中市南區,永和一街
131,臺中市,臺中市南區,永東街
132,臺中市,臺中市南區,瑞光街
133,臺中市,臺中市南區,福中街
134,臺中市,臺中市南區,福和街
135,臺中市,臺中市南區,福德街
136,臺中市,臺中市南區,福東街
137,臺中市,臺中市南區,福田三街
138,臺中市,臺中市南區,福田五街
139,臺中市,臺中市南區,福義路
140,臺中市,臺中市南區,美和街
141,臺中市,臺中市南區,美村路
142,臺中市,臺中市南區,西川一路
143,臺中市,臺中市南區,高工二街
144,臺中市,臺中市南區,高工路
145,臺中市,臺中市西區,三民西路
146,臺中市,臺中市西區,中山路
147,臺中市,臺中市西區,中華路
148,臺中市,臺中市西區,五廊街
149,臺中市,臺中市西區,五權七街
150,臺中市,臺中市西區,五權二街
151,臺中市,臺中市西區,五權八街
152,臺中市,臺中市西區,五權四街
153,臺中市,臺中市西區,五權西三街
154,臺中市,臺中市西區,五權西五街
155,臺中市,臺中市西區,五權西四街
156,臺中市,臺中市西區,五權路
157,臺中市,臺中市西區,健行路
158,臺中市,臺中市西區,公益北街
159,臺中市,臺中市西區,公舘路
160,臺中市,臺中市西區,博館一街
161,臺中市,臺中市西區,博館二街
162,臺中市,臺中市西區,向上一街
163,臺中市,臺中市西區,向上北路
164,臺中市,臺中市西區,向上路
165,臺中市,臺中市西區,均安街
166,臺中市,臺中市西區,大全街
167,臺中市,臺中市西區,大和路
168,臺中市,臺中市西區,大墩十一街
169,臺中市,臺中市西區,大墩十二街
170,臺中市,臺中市西區,大墩路
171,臺中市,臺中市西區,大忠街
172,臺中市,臺中市西區,大昌街
173,臺中市,臺中市西區,大業北路
174,臺中市,臺中市西區,大華街
175,臺中市,臺中市西區,大隆路
176,臺中市,臺中市西區,存中街
177,臺中市,臺中市西區,市府路
178,臺中市,臺中市西區,康樂街
179,臺中市,臺中市西區,建國路
180,臺中市,臺中市西區,忠仁街
181,臺中市,臺中市西區,忠勤街
182,臺中市,臺中市西區,忠明路
183,臺中市,臺中市西區,忠誠街
184,臺中市,臺中市西區,成功路
185,臺中市,臺中市西區,新生街
186,臺中市,臺中市西區,日盛街
187,臺中市,臺中市西區,日進街
188,臺中市,臺中市西區,明智街
189,臺中市,臺中市西區,明義街
190,臺中市,臺中市西區,東興路
191,臺中市,臺中市西區,柳川東路
192,臺中市,臺中市西區,梅亭街
193,臺中市,臺中市西區,梅川西路
194,臺中市,臺中市西區,模範街
195,臺中市,臺中市西區,民族路
196,臺中市,臺中市西區,民生北路
197,臺中市,臺中市西區,民興街
198,臺中市,臺中市西區,永成街
199,臺中市,臺中市西區,法院前街
200,臺中市,臺中市西區,福龍街
201,臺中市,臺中市西區,篤行路
202,臺中市,臺中市西區,精明一街
203,臺中市,臺中市西區,精美街
204,臺中市,臺中市西區,精誠七街
205,臺中市,臺中市西區,精誠三十街
206,臺中市,臺中市西區,精誠九街
207,臺中市,臺中市西區,精誠二十七街
208,臺中市,臺中市西區,精誠二十九街
209,臺中市,臺中市西區,精誠二十五街
210,臺中市,臺中市西區,精誠二十四街
211,臺中市,臺中市西區,精誠二街
212,臺中市,臺中市西區,精誠八街
213,臺中市,臺中市西區,精誠十一街
214,臺中市,臺中市西區,精誠十三街
215,臺中市,臺中市西區,精誠十二街
216,臺中市,臺中市西區,精誠十八街
217,臺中市,臺中市西區,精誠十四街
218,臺中市,臺中市西區,精誠四街
219,臺中市,臺中市西區,綠川西街
220,臺中市,臺中市西區,美村路
221,臺中市,臺中市西區,自由路
222,臺中市,臺中市西區,英才路
223,臺中市,臺中市西區,華美西街
224,臺中市,臺中市西區,貴和街
225,臺中市,臺中市西區,長春街
226,臺中市,臺中市北區,一中街
227,臺中市,臺中市北區,中央街
228,臺中市,臺中市北區,中正路
229,臺中市,臺中市北區,中華西街
230,臺中市,臺中市北區,中達街
231,臺中市,臺中市北區,五權路
232,臺中市,臺中市北區,五順街
233,臺中市,臺中市北區,健行路
234,臺中市,臺中市北區,公園路
235,臺中市,臺中市北區,北屯路
236,臺中市,臺中市北區,北平三街
237,臺中市,臺中市北區,北平四街
238,臺中市,臺中市北區,北興街
239,臺中市,臺中市北區,博館一街
240,臺中市,臺中市北區,博館東街
241,臺中市,臺中市北區,原子街
242,臺中市,臺中市北區,國強街
243,臺中市,臺中市北區,國瑞街
244,臺中市,臺中市北區,國𧯽街
245,臺中市,臺中市北區,大德街
246,臺中市,臺中市北區,大義街
247,臺中市,臺中市北區,天津一街
248,臺中市,臺中市北區,天祥街
249,臺中市,臺中市北區,太原七街
250,臺中市,臺中市北區,太原九街
251,臺中市,臺中市北區,太原五街
252,臺中市,臺中市北區,太原六街
253,臺中市,臺中市北區,太原南一街
254,臺中市,臺中市北區,太原南二街
255,臺中市,臺中市北區,太原路
256,臺中市,臺中市北區,太平路
257,臺中市,臺中市北區,富強街
258,臺中市,臺中市北區,尊賢路
259,臺中市,臺中市北區,尚德街
260,臺中市,臺中市北區,崇德路
261,臺中市,臺中市北區,德化街
262,臺中市,臺中市北區,忠太西路
263,臺中市,臺中市北區,忠明三街
264,臺中市,臺中市北區,忠明五街
265,臺中市,臺中市北區,忠明六街
266,臺中市,臺中市北區,忠明路
267,臺中市,臺中市北區,文化街
268,臺中市,臺中市北區,文昌一街
269,臺中市,臺中市北區,文昌東三街
270,臺中市,臺中市北區,文武街
271,臺中市,臺中市北區,文祥路
272,臺中市,臺中市北區,日興街
273,臺中市,臺中市北區,日進路
274,臺中市,臺中市北區,東光七街
275,臺中市,臺中市北區,東光二街
276,臺中市,臺中市北區,東光八街
277,臺中市,臺中市北區,東光東街
278,臺中市,臺中市北區,東成一街
279,臺中市,臺中市北區,東成二街
280,臺中市,臺中市北區,東漢街
281,臺中市,臺中市北區,柳川西路
282,臺中市,臺中市北區,梅亭東街
283,臺中市,臺中市北區,梅川東路
284,臺中市,臺中市北區,梅豐街
285,臺中市,臺中市北區,武昌南街
286,臺中市,臺中市北區,武漢街
287,臺中市,臺中市北區,民權路
288,臺中市,臺中市北區,永定一街
289,臺中市,臺中市北區,永達街
290,臺中市,臺中市北區,湘北街
291,臺中市,臺中市北區,漢口南二街
292,臺中市,臺中市北區,漢陽街
293,臺中市,臺中市北區,瑞祥街
294,臺中市,臺中市北區,福壽街
295,臺中市,臺中市北區,福龍街
296,臺中市,臺中市北區,篤行路
297,臺中市,臺中市北區,綏遠路
298,臺中市,臺中市北區,育強街
299,臺中市,臺中市北區,育才北路
300,臺中市,臺中市北區,育才街
301,臺中市,臺中市北區,育祥街
302,臺中市,臺中市北區,育隆路
303,臺中市,臺中市北區,自強街
304,臺中市,臺中市北區,自由路
305,臺中市,臺中市北區,興進路
306,臺中市,臺中市北區,英才路
307,臺中市,臺中市北區,華信街
308,臺中市,臺中市北區,華美街
309,臺中市,臺中市北區,華貴街
310,臺中市,臺中市北區,衛道一街
